# Convert ordinal dates to Python Datetime  using datetime.datetime.fromordinal
Nino 3.4 Index,Date (ordinals)
# Convert ordinal dates to Python Datetime  using datetime.datetime.fromordinal

-1.5541,682653
-1.5653,682684
-0.5960,682712
0.0014,682743
-0.4156,682773
-0.3931,682804
-0.8665,682834
-1.0919,682865
-0.8327,682896
-1.2835,682926
-1.2385,682957
-1.3174,682987
-0.7087,683018
-0.8778,683049
-0.1451,683077
0.3509,683108
0.2269,683138
0.2269,683169
-0.3818,683199
-0.4720,683230
-0.5058,683261
-0.6298,683291
-0.6861,683322
-1.0694,683352
-1.2385,683383
-0.9228,683414
-0.2240,683443
0.0465,683474
0.3283,683504
0.2269,683535
-0.0549,683565
-1.0581,683596
-1.3850,683627
-1.3174,683657
-1.2385,683688
-1.4075,683718
-1.3174,683749
-1.3624,683780
-1.1370,683808
0.1592,683839
0.4185,683869
0.2832,683900
-0.3480,683930
-0.5396,683961
-0.6185,683992
-1.1257,684022
-1.2159,684053
-1.2046,684083
-1.4864,684114
-1.4188,684145
-1.2497,684173
-0.1451,684204
0.0465,684234
0.0014,684265
-0.8327,684295
-1.2835,684326
-1.5090,684357
-1.6555,684387
-1.8358,684418
-1.7006,684448
-1.2272,684479
-0.6411,684510
-0.3367,684538
-0.0662,684569
-0.2127,684599
-0.0437,684630
-0.6636,684660
-1.0130,684691
-1.2610,684722
-1.1934,684752
-1.0694,684783
-1.2723,684813
-1.4977,684844
-1.5766,684875
-0.9341,684904
-0.4156,684935
-0.2015,684965
0.3283,684996
-0.0887,685026
-0.2804,685057
-0.2578,685088
-0.1226,685118
-0.1789,685149
-0.1676,685179
-0.0324,685210
0.2945,685241
0.9257,685269
1.4780,685300
1.8725,685330
1.9289,685361
1.8951,685391
1.6471,685422
1.7373,685453
1.9402,685483
2.0078,685514
2.3798,685544
2.2896,685575
2.5150,685606
1.8162,685634
1.9514,685665
1.9514,685695
1.8613,685726
0.5876,685756
-0.2240,685787
-0.5960,685818
-0.8552,685848
-1.1370,685879
-1.2723,685909
-1.0468,685940
-0.4269,685971
0.0691,685999
0.4974,686030
0.0803,686060
0.0691,686091
-0.5622,686121
-0.8778,686152
-1.1595,686183
-1.3061,686213
-1.6217,686244
-1.5766,686274
-1.5541,686305
-1.0468,686336
-0.3705,686365
0.2720,686396
0.2156,686426
0.1367,686457
-0.2916,686487
-0.3705,686518
-0.2691,686549
-0.0662,686579
-0.0662,686610
-0.2127,686640
-0.1000,686671
0.0352,686702
0.7003,686730
1.3766,686761
1.2075,686791
1.0835,686822
0.0014,686852
-0.2804,686883
-0.6072,686914
-0.7312,686944
-1.0130,686975
-0.8327,687005
-0.9341,687036
-0.8439,687067
-0.2578,687095
1.0272,687126
1.0384,687156
0.3734,687187
-0.3480,687217
-0.4607,687248
-0.8101,687279
-0.9905,687309
-1.3737,687340
-1.2723,687370
-0.9454,687401
-0.7763,687432
-0.1113,687460
0.6552,687491
0.5988,687521
0.5876,687552
0.2832,687582
-0.1226,687613
-0.4269,687644
-0.7200,687674
-0.5960,687705
-0.5847,687735
-0.5509,687766
-0.2353,687797
0.3396,687826
1.2075,687857
1.4667,687887
0.6665,687918
0.6214,687948
0.1367,687979
-0.0211,688010
0.0691,688040
-0.0098,688071
-0.0324,688101
-0.2916,688132
0.0803,688163
0.4748,688191
0.8919,688222
1.5118,688252
1.0046,688283
0.3847,688313
0.2832,688344
0.3509,688375
0.5537,688405
0.5650,688436
0.7341,688466
-0.2353,688497
-0.3254,688528
0.2156,688556
0.4974,688587
0.0691,688617
-0.1902,688648
-0.7989,688678
-1.2497,688709
-1.5991,688740
-1.5428,688770
-1.8584,688801
-2.0387,688831
-1.1934,688862
-1.3737,688893
-0.9905,688921
-0.4156,688952
-0.2691,688982
0.1818,689013
-0.3142,689043
-0.7989,689074
-0.6185,689105
-0.3931,689135
-0.3029,689166
-0.2465,689196
-0.2578,689227
0.5199,689258
0.7904,689287
1.2526,689318
1.5569,689348
1.2751,689379
0.9257,689409
0.9483,689440
0.4185,689471
1.3540,689501
2.1430,689532
1.4667,689562
1.8049,689593
1.4442,689624
1.2751,689652
1.4329,689683
1.3878,689713
0.9257,689744
-0.5509,689774
-1.2159,689805
-1.2723,689836
-1.7344,689866
-1.5653,689897
-1.8246,689927
-3.2335,689958
-2.6023,689989
-0.9567,690017
-0.3705,690048
-0.1000,690078
-0.1564,690109
-0.7425,690139
-1.6442,690170
-1.6893,690201
-1.6780,690231
-1.5541,690262
-1.1934,690292
-0.9341,690323
-0.5058,690354
0.2607,690382
1.0835,690413
1.1624,690443
1.1399,690474
0.4298,690504
-0.0324,690535
-0.3254,690566
-0.2916,690596
-0.2804,690627
-0.4043,690657
-0.9905,690688
-0.6072,690719
-0.3142,690748
0.1818,690779
0.2043,690809
0.1818,690840
-0.4043,690870
-0.7989,690901
-1.4413,690932
-1.9937,690962
-2.1740,690993
-1.7457,691023
-1.8133,691054
-1.5315,691085
-1.0581,691113
-0.5509,691144
-0.4607,691174
-0.5171,691205
-1.1821,691235
-1.5541,691266
-1.6668,691297
-1.7908,691327
-1.8133,691358
-1.5428,691388
-1.6555,691419
-1.4977,691450
-0.8552,691478
-0.1226,691509
-0.1000,691539
-0.1226,691570
-0.6974,691600
-1.0017,691631
-1.4752,691662
-1.1821,691692
-1.3850,691723
-0.9567,691753
-1.2497,691784
-0.7650,691815
-0.1113,691843
0.7228,691874
0.9821,691904
0.5763,691935
0.0014,691965
0.3058,691996
0.2381,692027
0.1029,692057
0.1592,692088
0.1254,692118
-0.2465,692149
-0.1226,692180
0.5087,692209
0.9032,692240
0.9708,692270
0.5876,692301
0.7904,692331
1.0835,692362
0.9370,692393
0.9821,692423
1.3540,692454
1.3315,692484
1.2526,692515
1.0610,692546
0.9483,692574
0.6665,692605
0.8243,692635
0.7904,692666
0.3734,692696
-0.2578,692727
-0.5058,692758
-0.8890,692788
-1.0356,692819
-0.8665,692849
-1.0017,692880
-0.8665,692911
-0.5509,692939
0.2269,692970
0.3621,693000
0.4974,693031
-0.4156,693061
-0.9567,693092
-0.4494,693123
-0.6298,693153
-1.0806,693184
-1.3061,693214
-1.2723,693245
-1.0243,693276
-0.3029,693304
0.5312,693335
1.0610,693365
0.9257,693396
0.2720,693426
0.6214,693457
0.2494,693488
0.7904,693518
1.1061,693549
1.2751,693579
1.1624,693610
1.2413,693641
1.4555,693669
1.6584,693700
1.6246,693730
1.6809,693761
1.1399,693791
0.7792,693822
0.3959,693853
0.2156,693883
-0.1902,693914
0.2607,693944
