# Convert ordinal dates to Python Datetime  using datetime.datetime.fromordinal
PDO Index,Date (ordinals)
# Convert ordinal dates to Python Datetime  using datetime.datetime.fromordinal

-1.1700,676809
-0.9500,676840
-0.7500,676868
-0.5200,676899
-0.5200,676929
-0.9200,676960
-1.3500,676990
-1.5200,677021
-0.9100,677052
-1.2500,677082
-0.6300,677113
-0.6900,677143
0.3300,677174
0.4400,677205
0.0800,677233
-1.0800,677264
-2.0500,677294
-1.7400,677325
-1.8000,677355
-1.4100,677386
-0.9300,677417
-0.5800,677447
-0.2100,677478
0.2000,677508
0.0700,677539
0.3400,677570
-0.4600,677599
-0.8900,677630
-0.9200,677660
-0.7000,677691
-0.2500,677721
0.0600,677752
-0.8300,677783
-0.2700,677813
-0.1300,677844
-0.4600,677874
-0.9100,677905
-0.6300,677936
-0.4700,677964
-0.2500,677995
0.2400,678025
0.8000,678056
0.7500,678086
0.5100,678117
-0.0600,678148
-0.2400,678178
-0.2700,678209
-0.8900,678239
-1.4600,678270
-0.6300,678301
-0.8200,678329
-0.2100,678360
-0.0300,678390
0.5100,678421
-0.1000,678451
-0.1100,678482
-0.1000,678513
-0.1900,678543
0.7500,678574
0.5700,678604
0.7200,678635
-0.6400,678666
-0.9400,678694
-1.4300,678725
-1.2900,678755
-1.2500,678786
-0.4300,678816
-1.6400,678847
-1.7600,678878
-1.0000,678908
-0.0400,678939
-0.8500,678969
-1.1300,679000
-1.0700,679031
-1.0000,679060
-0.7000,679091
-0.4400,679121
0.5600,679152
0.5500,679182
0.1200,679213
3.0700,679244
0.5700,679274
-0.0600,679305
-0.7600,679335
-0.9300,679366
-1.1700,679397
-1.2100,679425
-1.1000,679456
-0.8200,679486
-0.6400,679517
-0.6800,679547
-0.9700,679578
-1.1100,679609
-1.5400,679639
-0.7500,679670
-0.5100,679700
-0.0300,679731
0.1900,679762
0.3100,679790
0.2500,679821
0.1600,679851
0.2700,679882
0.2600,679912
-0.2600,679943
-0.7400,679974
-0.6700,680004
-0.1900,680035
-0.2300,680065
-0.1800,680096
-0.1800,680127
-0.2500,680155
-0.0200,680186
0.2300,680216
0.1200,680247
-0.2000,680277
-0.2400,680308
0.1200,680339
0.3300,680369
0.3300,680400
0.0600,680430
-0.0200,680461
-0.1200,680492
-0.4000,680521
-0.3800,680552
-0.1700,680582
0.0700,680613
-0.1800,680643
-0.2800,680674
-0.3400,680705
-0.2900,680735
-0.1000,680766
-0.0100,680796
-0.5300,680827
-0.7100,680858
-0.1400,680886
-0.2100,680917
-0.2200,680947
-0.1400,680978
-0.0500,681008
0.0200,681039
-0.3300,681070
-0.3500,681100
-0.4000,681131
-0.6400,681161
-1.6600,681192
-1.6400,681223
-1.7500,681251
-0.0100,681282
-0.5400,681312
-0.3700,681343
-0.2400,681373
-0.2700,681404
-0.3200,681435
-0.1900,681465
0.0400,681496
-0.0200,681526
-0.0100,681557
-0.0900,681588
-0.2600,681616
-0.2700,681647
-0.1700,681677
-0.2700,681708
-0.2600,681738
-0.4200,681769
-0.4900,681800
-0.5100,681830
-0.3800,681861
-0.3500,681891
-0.2200,681922
-0.2300,681953
-0.2300,681982
-0.3100,682013
-0.4400,682043
-0.1700,682074
-0.1400,682104
-0.1300,682135
0.0000,682166
-0.1100,682196
-0.4100,682227
-0.2300,682257
-0.1200,682288
-0.0500,682319
0.2800,682347
0.8400,682378
2.2200,682408
3.0100,682439
2.4000,682469
0.4300,682500
0.2500,682531
0.4300,682561
-0.0600,682592
0.0400,682622
-0.4900,682653
-0.3100,682684
-0.6800,682712
-0.8800,682743
-1.1600,682773
-0.7000,682804
0.2400,682834
0.6300,682865
0.0200,682896
-0.5600,682926
-1.7800,682957
-1.2100,682987
-0.9800,683018
-0.4100,683049
-0.1300,683077
0.0500,683108
0.3300,683138
0.8900,683169
-0.4200,683199
-0.4900,683230
-0.7900,683261
-1.0600,683291
-1.4700,683322
-0.6000,683352
-0.4100,683383
-0.3300,683414
-0.2300,683443
-0.5200,683474
-0.3200,683504
-0.2200,683535
-0.5200,683565
-0.8200,683596
-0.1600,683627
-0.3400,683657
-1.9700,683688
-2.2100,683718
-2.2700,683749
-1.7700,683780
-1.4300,683808
-0.4800,683839
-0.5000,683869
-0.4000,683900
-0.4900,683930
-1.2400,683961
-1.5000,683992
-1.1100,684022
-1.0400,684053
-1.0200,684083
-0.7500,684114
-0.3800,684145
-0.4700,684173
-0.5000,684204
0.2100,684234
-0.0500,684265
-0.2000,684295
-0.3400,684326
0.2200,684357
0.7200,684387
0.8500,684418
-0.4200,684448
-0.8400,684479
-1.3500,684510
-1.4800,684538
-1.6000,684569
-0.8600,684599
-0.8800,684630
-1.3100,684660
-1.6200,684691
-1.3700,684722
-0.5900,684752
0.0000,684783
-0.2700,684813
-0.7700,684844
-0.8900,684875
-0.8900,684904
-0.0900,684935
-1.8700,684965
-0.7500,684996
-1.8100,685026
-2.7100,685057
-1.6700,685088
-0.6700,685118
-0.5800,685149
-1.1500,685179
-0.7300,685210
-0.1400,685241
0.6800,685269
-0.6500,685300
-0.5500,685330
-1.1100,685361
-0.9500,685391
-1.0800,685422
-1.3000,685453
-1.4600,685483
-3.0200,685514
0.2000,685544
-0.5900,685575
-0.3400,685606
0.1900,685634
1.3600,685665
1.3900,685695
2.8400,685726
1.6900,685756
0.4800,685787
-0.8300,685818
-0.3100,685848
0.7700,685879
1.1600,685909
-0.6700,685940
0.1400,685971
0.3400,685999
1.0100,686030
-1.1200,686060
-1.2500,686091
-2.1500,686121
-0.4600,686152
-0.7800,686183
-1.2700,686213
-1.0200,686244
-0.6700,686274
-0.8200,686305
-1.1300,686336
-2.0100,686365
-3.2300,686396
-3.1600,686426
-2.9900,686457
-2.7800,686487
-2.5400,686518
-2.1400,686549
-1.1800,686579
-1.5200,686610
0.6800,686640
0.2700,686671
-1.0000,686702
-0.3600,686730
0.5600,686761
0.2900,686791
0.0800,686822
-1.3100,686852
-2.0100,686883
0.4600,686914
0.5800,686944
-0.0500,686975
-0.6400,687005
-2.7100,687036
-1.9800,687067
-2.6100,687095
-2.9200,687126
-2.5100,687156
-1.1000,687187
-2.5000,687217
-0.8400,687248
-0.7800,687279
-1.6800,687309
-1.8800,687340
-0.7200,687370
-1.4800,687401
-1.5700,687432
-1.5100,687460
-0.4900,687491
-0.5100,687521
-0.8700,687552
-1.7500,687582
-1.9400,687613
-2.1400,687644
-1.2100,687674
-0.1400,687705
-1.4000,687735
-1.9700,687766
-1.6700,687797
-1.0900,687826
-0.4300,687857
