Publication Years,records,% of 405
2019,2,0.494
2018,13,3.210
2017,12,2.963
2016,17,4.198
2015,12,2.963
2014,19,4.691
2013,13,3.210
2012,19,4.691
2011,12,2.963
2010,19,4.691
2009,18,4.444
2008,13,3.210
2007,18,4.444
2006,12,2.963
2005,22,5.432
2004,15,3.704
2003,19,4.691
2002,11,2.716
2001,16,3.951
2000,12,2.963
1999,13,3.210
1998,16,3.951
1997,5,1.235
1996,9,2.222
1995,25,6.173
1994,10,2.469
1993,7,1.728
1992,8,1.975
1991,5,1.235
1990,2,0.494
1989,1,0.247
1988,3,0.741
1987,1,0.247
1986,2,0.494
1985,1,0.247
1977,1,0.247
1974,1,0.247
1972,1,0.247
# (13 Publication Years {0} {1} value(s) outside display options.)
# (0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
