Publication Years,records,% of 109
2019,3,2.752
2018,12,11.009
2017,8,7.339
2016,10,9.174
2015,5,4.587
2014,1,0.917
2013,6,5.505
2012,3,2.752
2011,6,5.505
2010,7,6.422
2009,9,8.257
2008,10,9.174
2007,7,6.422
2006,3,2.752
2005,3,2.752
2004,3,2.752
2002,3,2.752
2001,1,0.917
2000,1,0.917
1999,2,1.835
1998,2,1.835
1997,1,0.917
1993,1,0.917
1992,1,0.917
1987,1,0.917
# (0 Publication Years {0} {1} value(s) outside display options.)
# (0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
